iter	RMSE
0	0.564494255
1	0.5442227653
2	0.5253294996
3	0.5080293331
4	0.4921845789
5	0.4774141857
6	0.4638974398
7	0.4515500861
8	0.4404666796
9	0.4298865915
10	0.4203735977
11	0.4120630199
12	0.4043330685
13	0.3973644142
14	0.3911247842
15	0.3850243127
16	0.3797610498
17	0.3751254914
18	0.3708245692
19	0.3669177205
20	0.3634556989
21	0.3602366392
22	0.357350744
23	0.3546315255
24	0.3520479394
25	0.3499081184
26	0.3479157675
27	0.3462269241
28	0.344565013
29	0.3431126185
30	0.3417591416
31	0.3406107347
32	0.3393704509
33	0.3382697541
34	0.3372695343
35	0.3363499677
36	0.3355759701
37	0.334829899
38	0.3342012359
39	0.333592704
40	0.3330177605
41	0.3323469277
42	0.331865552
43	0.3315056231
44	0.3309398484
45	0.3304626027
46	0.3301096802
47	0.3296961159
48	0.3293911563
49	0.3290951309
50	0.328736843
51	0.3283988352
52	0.3280084621
53	0.3277147803
54	0.3272765133
55	0.3270053691
56	0.3266549714
57	0.3264685512
58	0.3262743614
59	0.3260075145
60	0.3257648115
61	0.3255099139
62	0.3253129856
63	0.3251568937
64	0.3249485197
65	0.3247814359
66	0.3246347768
67	0.3244246687
68	0.32432987
69	0.3241563101
70	0.3240409248
71	0.3238497112
72	0.3236658069
73	0.323449119
74	0.3232584887
75	0.3230249193
76	0.322839924
77	0.3226590072
78	0.3225691438
79	0.3224720384
80	0.3222466687
81	0.3220278649
82	0.3218916254
83	0.3217800133
84	0.3216427676
85	0.3214823571
86	0.3213049372
87	0.3210918463
88	0.3209470402
89	0.3208753814
90	0.3207887686
91	0.3206701778
92	0.3205177566
93	0.3204115538
94	0.3202251714
95	0.3200663818
96	0.3199672148
97	0.3198205624
98	0.3196805804
99	0.3195815824
100	0.3195006636
101	0.3194079303
102	0.3193084422
103	0.3191378553
104	0.3190292167
105	0.3189255264
106	0.3187746334
107	0.3186516844
108	0.3185705997
109	0.3183974567
110	0.3182367212
111	0.318132069
112	0.3179845149
113	0.3178968408
114	0.3178227789
115	0.3177672482
116	0.317629786
117	0.3175169654
118	0.3173943679
119	0.3173179128
120	0.3171464698
121	0.3170628932
122	0.3169613742
123	0.3169163538
124	0.3167629832
125	0.3166369896
126	0.31656036
127	0.3164509304
128	0.3163404504
129	0.3162059346
130	0.3160094798
131	0.3159459157
132	0.315749845
133	0.3156136995
134	0.3155736104
135	0.3155058781
136	0.3153894626
137	0.3153520595
138	0.3152748651
139	0.3151408468
140	0.3150902248
141	0.3149795037
142	0.3148913724
143	0.3148875663
144	0.3147765543
145	0.3147261147
146	0.3146367943
147	0.3145777573
148	0.3144284834
149	0.3143159976
150	0.3142850181
151	0.3141868461
152	0.3140697443
153	0.3139758141
154	0.3138869232
155	0.3137751578
156	0.3137227807
157	0.3136417086
158	0.3135809518
159	0.3134769323
160	0.3133832367
161	0.3133437321
162	0.3132647163
163	0.3131827661
164	0.3130875246
165	0.312906516
166	0.3128415392
167	0.3127825635
168	0.3126498657
169	0.3125790592
170	0.3124949998
171	0.3123965995
172	0.3122828553
173	0.3122095102
174	0.3121035783
175	0.3120696756
176	0.3120261928
177	0.3119728577
178	0.3119113568
179	0.3118191709
180	0.3117150922
181	0.3116262777
182	0.3115551765
183	0.3114202462
184	0.3112683581
185	0.3111996773
186	0.3111221521
187	0.3110450073
188	0.310916512
189	0.3107898959
190	0.3107546352
191	0.3106645105
192	0.3106062752
193	0.3104620122
194	0.3104135429
195	0.3103263566
196	0.310272013
197	0.3102262852
198	0.3101597979
199	0.3100584466
200	0.3098874343
201	0.309798672
202	0.3096717028
203	0.3095801853
