iter	Passed	Remaining
407	6332	24709
408	6348	24696
409	6364	24681
410	6380	24668
411	6401	24674
412	6416	24657
413	6433	24645
414	6448	24628
415	6463	24611
416	6479	24596
417	6497	24590
418	6514	24579
419	6530	24566
420	6544	24545
421	6559	24527
422	6576	24516
423	6590	24495
424	6605	24477
425	6621	24466
426	6638	24455
427	6656	24447
428	6673	24436
429	6689	24423
430	6705	24410
431	6722	24399
432	6744	24406
433	6761	24397
434	6779	24388
435	6797	24383
436	6815	24376
437	6832	24365
438	6848	24350
439	6866	24343
440	6883	24334
441	6901	24326
442	6916	24309
443	6933	24297
444	6949	24285
445	6966	24272
446	6982	24258
447	6999	24246
448	7017	24239
449	7033	24225
450	7047	24206
451	7061	24184
452	7077	24169
453	7092	24150
454	7107	24133
455	7120	24109
456	7134	24088
457	7150	24074
458	7165	24056
459	7181	24041
460	7196	24025
461	7211	24007
462	7225	23987
463	7244	23981
464	7261	23969
465	7281	23967
466	7300	23964
467	7317	23955
468	7346	23981
469	7364	23974
470	7380	23958
471	7396	23944
472	7410	23923
473	7427	23912
474	7441	23890
475	7456	23873
476	7470	23851
477	7487	23840
478	7504	23830
479	7520	23816
480	7535	23797
481	7551	23782
482	7566	23763
483	7581	23747
484	7595	23726
485	7609	23706
486	7624	23686
487	7638	23666
488	7653	23648
489	7668	23630
490	7681	23609
491	7697	23592
492	7715	23585
493	7731	23569
494	7747	23554
495	7760	23531
496	7774	23510
497	7788	23492
498	7808	23487
499	7824	23473
500	7840	23458
501	7855	23440
502	7869	23421
503	7886	23408
504	7901	23391
505	7918	23380
506	7928	23348
507	7946	23337
508	7962	23325
509	7977	23305
510	7991	23285
511	8005	23267
512	8021	23250
513	8035	23231
514	8050	23212
515	8064	23193
516	8078	23174
517	8093	23155
518	8109	23140
519	8124	23124
520	8139	23105
521	8154	23089
522	8168	23068
523	8182	23048
524	8196	23028
525	8210	23007
526	8225	22991
527	8240	22973
528	8255	22955
529	8270	22939
530	8284	22917
531	8300	22904
532	8314	22885
533	8330	22868
534	8343	22848
535	8358	22830
536	8374	22814
537	8388	22794
538	8403	22779
539	8419	22763
540	8434	22746
541	8449	22728
542	8463	22708
543	8477	22690
544	8493	22675
545	8509	22661
546	8525	22646
547	8540	22628
548	8554	22609
549	8568	22590
550	8583	22573
551	8598	22556
552	8614	22539
553	8629	22523
554	8644	22506
555	8658	22486
556	8674	22473
557	8689	22456
